1:2026-03-22 12:13:04 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 665bac8f-3e5c-42c0-a60e-0fdb0e6e71b9: sub-trajectories not referenced by parent: {'agent-acompact-0497d074fba840aa', 'agent-acompact-b26e3a617acad709'}
2:2026-03-22 12:13:04 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6d590f7e-b18e-438f-939f-421c18d3620f: sub-trajectories not referenced by parent: {'agent-acompact-44c0ec2045e51701'}
3:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d7a6dae4-2ddc-4185-91a3-c7a09c2ca785: sub-trajectories not referenced by parent: {'agent-a052f4aadef4dbe6c', 'agent-acompact-531aaa87562a33c8', 'agent-acompact-c115714454781317'}
4:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2a22a609-9fcc-4a4e-a17d-c640ed5fae25: sub-trajectories not referenced by parent: {'agent-acompact-495b64095e40481b'}
5:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2f892eb9-4dfb-443d-84e1-cfa8ca0bd8c5: sub-trajectories not referenced by parent: {'agent-acompact-34470777728a7ea2'}
6:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9e555410-09d4-406e-9467-a6ac7e100f62: sub-trajectories not referenced by parent: {'agent-acompact-6d13446294ab9e34'}
7:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session cf18a8a0-dde7-42f4-b175-c5c8a16dc2bd: sub-trajectories not referenced by parent: {'agent-acompact-4af8291e7acacbf3', 'agent-ada1643b62e38a722', 'agent-acompact-c1b08ca6905a9af6'}
8:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 64da7265-8f07-4967-b79f-0ae374c13330: sub-trajectories not referenced by parent: {'agent-acompact-d8d63b404fc1a00f'}
9:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6558106f-82f1-464c-bf4e-d99dcb466b0e: sub-trajectories not referenced by parent: {'agent-acompact-01ef2da6e306dfae'}
10:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3c77650d-0192-4ab1-bb96-c0e589d751e5: sub-trajectories not referenced by parent: {'agent-acompact-23d14434bb72339d'}
11:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 147f278a-76e5-4a79-979a-d01591dbbe26: sub-trajectories not referenced by parent: {'agent-acompact-93beb00f91803f4a'}
12:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session edeb8057-e9de-49e5-9ea9-5773cd22676f: sub-trajectories not referenced by parent: {'agent-acompact-d0dedcc3b42b6eed', 'agent-acompact-b8972c1407de6d10', 'agent-acompact-0ffd5e7f5d431ddf'}
13:2026-03-22 12:13:05 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d33425e7-0d4e-405f-ad3b-2cdf6c5e83fb: sub-trajectories not referenced by parent: {'agent-acompact-96eba5763e83f993'}
14:[Omitted long matching line]
15:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 4acbb567-9100-4201-a046-3be7ef5adfcd: sub-trajectories not referenced by parent: {'agent-acompact-aabd9b97ebc290c9'}
16:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3fb566a3-49c0-4f39-b1be-1d831b29f62a: sub-trajectories not referenced by parent: {'agent-acompact-8a5dad4d32d83c00'}
17:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 7242e07c-0a18-4a25-bc6b-1c6398a4c192: sub-trajectories not referenced by parent: {'agent-acompact-2bf809d8e7278b56'}
18:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9aea9342-1063-42fc-974e-6a45eff71fdc: sub-trajectories not referenced by parent: {'agent-acompact-02c618aea659d304', 'agent-acompact-17c6d19f842c92a7', 'agent-acompact-7a1766019a3f6698', 'agent-acompact-b56d1e2a4baeb5bc'}
